datetime,MS_pres,MS_temp,R_av,i_av,Therm_temp
2022/3/11 2:14:19,6.25,1270.72,459.724,0.0008,-64.14
2022/3/11 2:16:55,6.25,1270.68,456.122,0.0008,-64.40
2022/3/11 2:19:26,6.27,1270.46,454.376,0.0008,-63.89
2022/3/11 2:22:2,6.28,1269.93,448.475,0.0008,-64.66
2022/3/11 2:24:37,6.28,1269.18,447.722,0.0008,-63.81
2022/3/11 2:27:13,6.30,1268.62,439.084,0.0008,-64.18
2022/3/11 2:29:49,6.31,1268.61,428.081,0.0008,-63.85
2022/3/11 2:32:25,6.32,1268.38,428.122,0.0008,-64.10
2022/3/11 2:35:1,6.32,1267.97,430.293,0.0008,-64.83
2022/3/11 2:37:36,6.35,1267.33,422.849,0.0008,-64.06
2022/3/11 2:40:12,6.35,1266.62,418.353,0.0008,-64.14
2022/3/11 2:42:48,6.36,1266.65,418.936,0.0008,-64.14
2022/3/11 2:45:24,6.37,1266.58,416.652,0.0008,-64.14
2022/3/11 2:48:0,6.38,1265.64,414.304,0.0008,-64.14
2022/3/11 2:50:36,6.40,1264.84,409.211,0.0008,-64.66
2022/3/11 2:53:11,6.40,1264.32,413.015,0.0008,-64.10
2022/3/11 2:55:47,6.41,1264.27,412.433,0.0008,-64.18
2022/3/11 2:58:23,6.42,1263.59,414.659,0.0008,-64.57
2022/3/11 3:0:59,6.43,1262.45,410.231,0.0008,-64.23
2022/3/11 3:3:35,6.43,1262.34,418.525,0.0008,-63.89
2022/3/11 3:6:10,6.44,1262.82,417.299,0.0008,-64.44
2022/3/11 3:8:46,6.44,1262.27,417.277,0.0008,-64.18
2022/3/11 3:11:22,6.44,1261.44,419.175,0.0008,-63.89
2022/3/11 3:13:58,6.45,1260.48,416.539,0.0008,-64.61
2022/3/11 3:16:34,6.46,1260.04,422.242,0.0008,-63.97
2022/3/11 3:19:9,6.46,1259.75,422.921,0.0008,-64.01
2022/3/11 3:21:45,6.46,1258.79,421.786,0.0008,-64.48
2022/3/11 3:24:21,6.47,1257.71,428.007,0.0008,-64.66
